treatment_arm,spend_effect,spend_ci_low,spend_ci_high,profit_per_email,profit_ci_low,profit_ci_high,p_value,break_even_spend,break_even_margin,break_even_margin_low,break_even_margin_high,margin,cost,profitable
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.14098549717146858,0.026030555447700457,0.2559404388952367,0.016227783242455104,0.11111111111111109,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.4500000000000001,0.05,True
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.24642222015254162,0.11831287965578344,0.3745315606492998,0.00016338894359645538,0.22222222222222218,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.4500000000000001,0.1,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.09098549717146859,-0.023969444552299532,0.20594043889523672,0.12082919584973444,0.22222222222222218,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.4500000000000001,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.14642222015254158,0.018312879655783404,0.27453156064929973,0.025083295555469003,0.44444444444444436,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.4500000000000001,0.2,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.009014502828531445,-0.12396944455229957,0.10594043889523667,0.8778466465685024,0.44444444444444436,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.4500000000000001,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.04642222015254155,-0.0816871203442166,0.1745315606492997,0.4775573935071965,0.6666666666666664,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.4500000000000001,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.10901450282853145,-0.22396944455229956,0.005940438895236669,0.06307181427532754,0.6666666666666664,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.4500000000000001,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.3349135779472683,0.19256986628420367,0.47725728961033287,4.0082129633926935e-06,0.09999999999999998,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.5000000000000001,0.05,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.16220610796829826,0.03447839494188926,0.28993382099470727,0.012810527109996639,0.09999999999999998,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.5000000000000001,0.05,True
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.28491357794726846,0.14256986628420384,0.42725728961033305,8.75501079672203e-05,0.19999999999999996,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.5000000000000001,0.1,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.11220610796829839,-0.015521605058110621,0.2399338209947074,0.08510638237032223,0.19999999999999996,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.5000000000000001,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.18491357794726826,0.042569866284203645,0.32725728961033285,0.010894252064261957,0.3999999999999999,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.5000000000000001,0.2,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.012206107968298296,-0.11552160505811071,0.1399338209947073,0.8514211287910108,0.3999999999999999,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.5000000000000001,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.08491357794726828,-0.05743013371579633,0.2272572896103329,0.2423171344511681,0.5999999999999999,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.5000000000000001,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.08779389203170171,-0.21552160505811072,0.0399338209947073,0.1779151538888486,0.5999999999999999,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.5000000000000001,0.3,False
